FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2011,2021
A,Annual,COL,Colombia,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,9.8,8.3
A,Annual,COM,Comoros,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.4,11.7
A,Annual,CPV,Cabo Verde,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.4,2.1
A,Annual,CRI,Costa Rica,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,9.6,8.8
A,Annual,CSS,Caribbean small states,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,12.5268993371,12.0345990764
A,Annual,CUB,Cuba,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,9.4,7.6
A,Annual,CUW,Curacao,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,,11.7
A,Annual,CYM,Cayman Islands,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,12.1,12.0,13.0
A,Annual,CYP,Cyprus,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,9.3,8.6
A,Annual,CZE,Czechia,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,11.7,5.3,7.1
A,Annual,DEU,Germany,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.3,6.9
A,Annual,DJI,Djibouti,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,6.3,7.4
A,Annual,DMA,Dominica,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.9,11.7
A,Annual,DNK,Denmark,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.6,5.3
A,Annual,DOM,Dominican Republic,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.1,10.5
A,Annual,DZA,Algeria,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,7.0,7.1
A,Annual,EAP,East Asia & Pacific (excluding high income),WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.0731465996,10.2129312639
A,Annual,EAR,Early-demographic dividend,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.815155258,11.4425400965
A,Annual,EAS,East Asia & Pacific,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,8.02671859,9.8651167809
A,Annual,ECA,Europe & Central Asia (excluding high income),WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,5.9759726656,9.1753339493
A,Annual,ECS,Europe & Central Asia,WB_HNP_SH_STA_DIAB_ZS,Diabetes prevalence (% of population ages 20 to 79),PT,Percentage,WB_HNP,Health Nutrition and Population Statistics,0,Units,A,Normal value,PU,Public,,6.5479447433,7.0327815807
